Algorithm,Number of Cores,Pooling,Number of classifiers,Accuracy,BI,AUC
MINIROCKET,250,max,80,0.406,0.3,0.65
MINIROCKET,250,max + ppv,80,0.40299999999999997,0.29600000000000004,0.648
MINIROCKET,250,ppv,80,0.37,0.258,0.629
MINIROCKET,250,max,90,0.408,0.303,0.6509999999999999
MINIROCKET,250,max + ppv,90,0.40399999999999997,0.298,0.649
MINIROCKET,250,ppv,90,0.373,0.261,0.63
MINIROCKET,250,max,100,0.405,0.3,0.65
MINIROCKET,250,max + ppv,100,0.409,0.303,0.652
MINIROCKET,250,ppv,100,0.369,0.257,0.628
MINIROCKET,500,max,80,0.429,0.325,0.6629999999999999
MINIROCKET,500,max + ppv,80,0.43200000000000005,0.32899999999999996,0.665
MINIROCKET,500,ppv,80,0.436,0.33399999999999996,0.667
MINIROCKET,500,max,90,0.43700000000000006,0.33399999999999996,0.667
MINIROCKET,500,max + ppv,90,0.43,0.327,0.664
MINIROCKET,500,ppv,90,0.436,0.33299999999999996,0.667
MINIROCKET,500,max,100,0.429,0.326,0.6629999999999999
MINIROCKET,500,max + ppv,100,0.43200000000000005,0.32899999999999996,0.665
MINIROCKET,500,ppv,100,0.433,0.331,0.665
MINIROCKET,1000,max,80,0.451,0.35,0.675
MINIROCKET,1000,max + ppv,80,0.451,0.35,0.675
MINIROCKET,1000,ppv,80,0.46,0.361,0.68
MINIROCKET,1000,max,90,0.45,0.349,0.675
MINIROCKET,1000,max + ppv,90,0.452,0.35100000000000003,0.6759999999999999
MINIROCKET,1000,ppv,90,0.456,0.35700000000000004,0.6779999999999999
MINIROCKET,1000,max,100,0.45,0.349,0.675
MINIROCKET,1000,max + ppv,100,0.452,0.35200000000000004,0.6759999999999999
MINIROCKET,1000,ppv,100,0.451,0.35200000000000004,0.6759999999999999
MINIROCKET,2500,max,80,0.457,0.35600000000000004,0.6779999999999999
MINIROCKET,2500,max + ppv,80,0.456,0.354,0.677
MINIROCKET,2500,ppv,80,0.461,0.36200000000000004,0.6809999999999999
MINIROCKET,2500,max,90,0.45799999999999996,0.358,0.679
MINIROCKET,2500,max + ppv,90,0.46,0.36,0.68
MINIROCKET,2500,ppv,90,0.461,0.36200000000000004,0.6809999999999999
MINIROCKET,2500,max,100,0.456,0.35600000000000004,0.6779999999999999
MINIROCKET,2500,max + ppv,100,0.45299999999999996,0.35100000000000003,0.6759999999999999
MINIROCKET,2500,ppv,100,0.46,0.361,0.68
MINIROCKET,5000,max,80,0.456,0.35600000000000004,0.6779999999999999
MINIROCKET,5000,max + ppv,80,0.462,0.364,0.682
MINIROCKET,5000,ppv,80,0.449,0.348,0.674
MINIROCKET,5000,max,90,0.456,0.35600000000000004,0.6779999999999999
MINIROCKET,5000,max + ppv,90,0.45299999999999996,0.353,0.6759999999999999
MINIROCKET,5000,ppv,90,0.441,0.34,0.67
MINIROCKET,5000,max,100,0.462,0.364,0.682
MINIROCKET,5000,max + ppv,100,0.45399999999999996,0.354,0.677
MINIROCKET,5000,ppv,100,0.44799999999999995,0.34700000000000003,0.6729999999999999
MINIROCKET,10000,max,80,0.45899999999999996,0.359,0.679
MINIROCKET,10000,max + ppv,80,0.462,0.363,0.6809999999999999
MINIROCKET,10000,ppv,80,0.466,0.366,0.6829999999999999
MINIROCKET,10000,max,90,0.45799999999999996,0.358,0.679
MINIROCKET,10000,max + ppv,90,0.45799999999999996,0.35700000000000004,0.679
MINIROCKET,10000,ppv,90,0.46799999999999997,0.368,0.684
MINIROCKET,10000,max,100,0.45799999999999996,0.358,0.679
MINIROCKET,10000,max + ppv,100,0.462,0.363,0.6809999999999999
MINIROCKET,10000,ppv,100,0.46399999999999997,0.363,0.682
ROCKET,250,max,80,0.414,0.308,0.654
ROCKET,250,max + ppv,80,0.40700000000000003,0.299,0.649
ROCKET,250,ppv,80,0.425,0.321,0.66
ROCKET,250,max,90,0.413,0.306,0.653
ROCKET,250,max + ppv,90,0.414,0.307,0.653
ROCKET,250,ppv,90,0.426,0.321,0.66
ROCKET,250,max,100,0.415,0.308,0.654
ROCKET,250,max + ppv,100,0.414,0.308,0.654
ROCKET,250,ppv,100,0.424,0.32,0.66
ROCKET,500,max,80,0.424,0.319,0.659
ROCKET,500,max + ppv,80,0.42,0.313,0.657
ROCKET,500,ppv,80,0.43200000000000005,0.327,0.6629999999999999
ROCKET,500,max,90,0.419,0.313,0.6559999999999999
ROCKET,500,max + ppv,90,0.42,0.314,0.657
ROCKET,500,ppv,90,0.433,0.32799999999999996,0.664
ROCKET,500,max,100,0.419,0.313,0.657
ROCKET,500,max + ppv,100,0.418,0.312,0.6559999999999999
ROCKET,500,ppv,100,0.426,0.32,0.66
ROCKET,1000,max,80,0.434,0.32899999999999996,0.664
ROCKET,1000,max + ppv,80,0.435,0.331,0.6659999999999999
ROCKET,1000,ppv,80,0.444,0.342,0.6709999999999999
ROCKET,1000,max,90,0.425,0.32,0.66
ROCKET,1000,max + ppv,90,0.43,0.326,0.6629999999999999
ROCKET,1000,ppv,90,0.441,0.33799999999999997,0.669
ROCKET,1000,max,100,0.433,0.32899999999999996,0.664
ROCKET,1000,max + ppv,100,0.43,0.326,0.6629999999999999
ROCKET,1000,ppv,100,0.44299999999999995,0.34,0.67
ROCKET,2500,max,80,0.433,0.32899999999999996,0.665
ROCKET,2500,max + ppv,80,0.43,0.325,0.662
ROCKET,2500,ppv,80,0.44299999999999995,0.341,0.6709999999999999
ROCKET,2500,max,90,0.429,0.325,0.662
ROCKET,2500,max + ppv,90,0.42700000000000005,0.322,0.6609999999999999
ROCKET,2500,ppv,90,0.439,0.335,0.6679999999999999
ROCKET,2500,max,100,0.43200000000000005,0.327,0.664
ROCKET,2500,max + ppv,100,0.429,0.324,0.662
ROCKET,2500,ppv,100,0.442,0.33899999999999997,0.67
ROCKET,5000,max,80,0.43799999999999994,0.33399999999999996,0.667
ROCKET,5000,max + ppv,80,0.435,0.331,0.665
ROCKET,5000,ppv,80,0.45299999999999996,0.35100000000000003,0.6759999999999999
ROCKET,5000,max,90,0.44299999999999995,0.34,0.67
ROCKET,5000,max + ppv,90,0.44299999999999995,0.34,0.67
ROCKET,5000,ppv,90,0.45399999999999996,0.353,0.677
ROCKET,5000,max,100,0.433,0.32799999999999996,0.664
ROCKET,5000,max + ppv,100,0.44,0.336,0.6679999999999999
ROCKET,5000,ppv,100,0.45399999999999996,0.353,0.677
ROCKET,10000,max,80,0.45299999999999996,0.35100000000000003,0.6759999999999999
ROCKET,10000,max + ppv,80,0.45899999999999996,0.35700000000000004,0.679
ROCKET,10000,ppv,80,0.45799999999999996,0.35700000000000004,0.6779999999999999
ROCKET,10000,max,90,0.445,0.342,0.6709999999999999
ROCKET,10000,max + ppv,90,0.45,0.34700000000000003,0.674
ROCKET,10000,ppv,90,0.46,0.36,0.68
ROCKET,10000,max,100,0.45399999999999996,0.35200000000000004,0.6759999999999999
ROCKET,10000,max + ppv,100,0.455,0.354,0.677
ROCKET,10000,ppv,100,0.46299999999999997,0.363,0.6809999999999999
