Algorithm,Number of Cores,Pooling,Kernel,Smoothing Parameter,Accuracy,BI,AUC
MINIROCKET,250,max,linear,100,0.55,0.467,0.838
MINIROCKET,250,max + ppv,linear,100,0.55,0.467,0.838
MINIROCKET,250,ppv,linear,100,0.484,0.391,0.815
MINIROCKET,250,max,linear,1000,0.55,0.467,0.8370000000000001
MINIROCKET,250,max + ppv,linear,1000,0.55,0.467,0.8390000000000001
MINIROCKET,250,ppv,linear,1000,0.484,0.391,0.816
MINIROCKET,250,max,linear,10000,0.55,0.467,0.84
MINIROCKET,250,max + ppv,linear,10000,0.55,0.467,0.841
MINIROCKET,250,ppv,linear,10000,0.484,0.391,0.8170000000000001
MINIROCKET,250,max,poly,100,0.5589999999999999,0.47700000000000004,0.8390000000000001
MINIROCKET,250,max + ppv,poly,100,0.5589999999999999,0.47700000000000004,0.8390000000000001
MINIROCKET,250,ppv,poly,100,0.503,0.413,0.8170000000000001
MINIROCKET,250,max,poly,1000,0.5589999999999999,0.47700000000000004,0.835
MINIROCKET,250,max + ppv,poly,1000,0.5589999999999999,0.47700000000000004,0.8390000000000001
MINIROCKET,250,ppv,poly,1000,0.503,0.413,0.8190000000000001
MINIROCKET,250,max,poly,10000,0.5589999999999999,0.47700000000000004,0.838
MINIROCKET,250,max + ppv,poly,10000,0.5589999999999999,0.47700000000000004,0.838
MINIROCKET,250,ppv,poly,10000,0.503,0.413,0.82
MINIROCKET,250,max,rbf,100,0.565,0.483,0.836
MINIROCKET,250,max + ppv,rbf,100,0.565,0.483,0.838
MINIROCKET,250,ppv,rbf,100,0.528,0.441,0.828
MINIROCKET,250,max,rbf,1000,0.5670000000000001,0.486,0.838
MINIROCKET,250,max + ppv,rbf,1000,0.5670000000000001,0.486,0.841
MINIROCKET,250,ppv,rbf,1000,0.53,0.44299999999999995,0.831
MINIROCKET,250,max,rbf,10000,0.5670000000000001,0.486,0.841
MINIROCKET,250,max + ppv,rbf,10000,0.5670000000000001,0.486,0.84
MINIROCKET,250,ppv,rbf,10000,0.53,0.44299999999999995,0.8270000000000001
MINIROCKET,250,max,sigmoid,100,0.28300000000000003,0.142,0.68
MINIROCKET,250,max + ppv,sigmoid,100,0.28300000000000003,0.142,0.696
MINIROCKET,250,ppv,sigmoid,100,0.31,0.171,0.723
MINIROCKET,250,max,sigmoid,1000,0.435,0.32,0.758
MINIROCKET,250,max + ppv,sigmoid,1000,0.435,0.32,0.76
MINIROCKET,250,ppv,sigmoid,1000,0.47600000000000003,0.376,0.7979999999999999
MINIROCKET,250,max,sigmoid,10000,0.509,0.41700000000000004,0.8170000000000001
MINIROCKET,250,max + ppv,sigmoid,10000,0.509,0.41700000000000004,0.816
MINIROCKET,250,ppv,sigmoid,10000,0.41600000000000004,0.312,0.804
MINIROCKET,500,max,linear,100,0.623,0.5529999999999999,0.882
MINIROCKET,500,max + ppv,linear,100,0.623,0.5529999999999999,0.8809999999999999
MINIROCKET,500,ppv,linear,100,0.609,0.536,0.884
MINIROCKET,500,max,linear,1000,0.623,0.5529999999999999,0.88
MINIROCKET,500,max + ppv,linear,1000,0.623,0.5529999999999999,0.883
MINIROCKET,500,ppv,linear,1000,0.609,0.536,0.885
MINIROCKET,500,max,linear,10000,0.623,0.5529999999999999,0.882
MINIROCKET,500,max + ppv,linear,10000,0.623,0.5529999999999999,0.882
MINIROCKET,500,ppv,linear,10000,0.609,0.536,0.884
MINIROCKET,500,max,poly,100,0.623,0.5529999999999999,0.88
MINIROCKET,500,max + ppv,poly,100,0.623,0.5529999999999999,0.88
MINIROCKET,500,ppv,poly,100,0.614,0.542,0.887
MINIROCKET,500,max,poly,1000,0.623,0.5529999999999999,0.883
MINIROCKET,500,max + ppv,poly,1000,0.623,0.5529999999999999,0.88
MINIROCKET,500,ppv,poly,1000,0.614,0.542,0.887
MINIROCKET,500,max,poly,10000,0.623,0.5529999999999999,0.88
MINIROCKET,500,max + ppv,poly,10000,0.623,0.5529999999999999,0.882
MINIROCKET,500,ppv,poly,10000,0.614,0.542,0.8859999999999999
MINIROCKET,500,max,rbf,100,0.622,0.551,0.8740000000000001
MINIROCKET,500,max + ppv,rbf,100,0.622,0.551,0.875
MINIROCKET,500,ppv,rbf,100,0.605,0.526,0.868
MINIROCKET,500,max,rbf,1000,0.625,0.555,0.875
MINIROCKET,500,max + ppv,rbf,1000,0.625,0.555,0.8740000000000001
MINIROCKET,500,ppv,rbf,1000,0.614,0.542,0.884
MINIROCKET,500,max,rbf,10000,0.625,0.555,0.873
MINIROCKET,500,max + ppv,rbf,10000,0.625,0.555,0.875
MINIROCKET,500,ppv,rbf,10000,0.614,0.542,0.883
MINIROCKET,500,max,sigmoid,100,0.154,0.0,0.312
MINIROCKET,500,max + ppv,sigmoid,100,0.154,0.0,0.294
MINIROCKET,500,ppv,sigmoid,100,0.154,0.0,0.318
MINIROCKET,500,max,sigmoid,1000,0.311,0.17300000000000001,0.691
MINIROCKET,500,max + ppv,sigmoid,1000,0.311,0.17300000000000001,0.6940000000000001
MINIROCKET,500,ppv,sigmoid,1000,0.154,0.0,0.354
MINIROCKET,500,max,sigmoid,10000,0.494,0.39299999999999996,0.825
MINIROCKET,500,max + ppv,sigmoid,10000,0.494,0.39299999999999996,0.828
MINIROCKET,500,ppv,sigmoid,10000,0.326,0.19699999999999998,0.705
MINIROCKET,1000,max,linear,100,0.619,0.5479999999999999,0.89
MINIROCKET,1000,max + ppv,linear,100,0.619,0.5479999999999999,0.8909999999999999
MINIROCKET,1000,ppv,linear,100,0.596,0.518,0.889
MINIROCKET,1000,max,linear,1000,0.619,0.5479999999999999,0.889
MINIROCKET,1000,max + ppv,linear,1000,0.619,0.5479999999999999,0.89
MINIROCKET,1000,ppv,linear,1000,0.596,0.518,0.889
MINIROCKET,1000,max,linear,10000,0.619,0.5479999999999999,0.89
MINIROCKET,1000,max + ppv,linear,10000,0.619,0.5479999999999999,0.89
MINIROCKET,1000,ppv,linear,10000,0.596,0.518,0.889
MINIROCKET,1000,max,poly,100,0.625,0.555,0.8909999999999999
MINIROCKET,1000,max + ppv,poly,100,0.625,0.555,0.892
MINIROCKET,1000,ppv,poly,100,0.604,0.526,0.892
MINIROCKET,1000,max,poly,1000,0.625,0.555,0.8909999999999999
MINIROCKET,1000,max + ppv,poly,1000,0.625,0.555,0.892
MINIROCKET,1000,ppv,poly,1000,0.604,0.526,0.8909999999999999
MINIROCKET,1000,max,poly,10000,0.625,0.555,0.892
MINIROCKET,1000,max + ppv,poly,10000,0.625,0.555,0.892
MINIROCKET,1000,ppv,poly,10000,0.604,0.526,0.8909999999999999
MINIROCKET,1000,max,rbf,100,0.618,0.547,0.884
MINIROCKET,1000,max + ppv,rbf,100,0.618,0.547,0.885
MINIROCKET,1000,ppv,rbf,100,0.595,0.514,0.8759999999999999
MINIROCKET,1000,max,rbf,1000,0.618,0.5479999999999999,0.889
MINIROCKET,1000,max + ppv,rbf,1000,0.618,0.5479999999999999,0.89
MINIROCKET,1000,ppv,rbf,1000,0.598,0.52,0.889
MINIROCKET,1000,max,rbf,10000,0.618,0.5479999999999999,0.889
MINIROCKET,1000,max + ppv,rbf,10000,0.618,0.5479999999999999,0.889
MINIROCKET,1000,ppv,rbf,10000,0.598,0.52,0.888
MINIROCKET,1000,max,sigmoid,100,0.154,0.0,0.3
MINIROCKET,1000,max + ppv,sigmoid,100,0.154,0.0,0.28
MINIROCKET,1000,ppv,sigmoid,100,0.154,0.0,0.345
MINIROCKET,1000,max,sigmoid,1000,0.275,0.133,0.687
MINIROCKET,1000,max + ppv,sigmoid,1000,0.275,0.133,0.691
MINIROCKET,1000,ppv,sigmoid,1000,0.154,0.0,0.35200000000000004
MINIROCKET,1000,max,sigmoid,10000,0.45299999999999996,0.34299999999999997,0.772
MINIROCKET,1000,max + ppv,sigmoid,10000,0.45299999999999996,0.34299999999999997,0.772
MINIROCKET,1000,ppv,sigmoid,10000,0.295,0.162,0.67
MINIROCKET,2500,max,linear,100,0.669,0.607,0.909
MINIROCKET,2500,max + ppv,linear,100,0.669,0.607,0.909
MINIROCKET,2500,ppv,linear,100,0.657,0.593,0.9059999999999999
MINIROCKET,2500,max,linear,1000,0.669,0.607,0.909
MINIROCKET,2500,max + ppv,linear,1000,0.669,0.607,0.91
MINIROCKET,2500,ppv,linear,1000,0.657,0.593,0.907
MINIROCKET,2500,max,linear,10000,0.669,0.607,0.9079999999999999
MINIROCKET,2500,max + ppv,linear,10000,0.669,0.607,0.907
MINIROCKET,2500,ppv,linear,10000,0.657,0.593,0.9059999999999999
MINIROCKET,2500,max,poly,100,0.672,0.61,0.9079999999999999
MINIROCKET,2500,max + ppv,poly,100,0.672,0.61,0.91
MINIROCKET,2500,ppv,poly,100,0.66,0.596,0.9079999999999999
MINIROCKET,2500,max,poly,1000,0.672,0.61,0.91
MINIROCKET,2500,max + ppv,poly,1000,0.672,0.61,0.907
MINIROCKET,2500,ppv,poly,1000,0.66,0.596,0.909
MINIROCKET,2500,max,poly,10000,0.672,0.61,0.909
MINIROCKET,2500,max + ppv,poly,10000,0.672,0.61,0.91
MINIROCKET,2500,ppv,poly,10000,0.66,0.596,0.9079999999999999
MINIROCKET,2500,max,rbf,100,0.667,0.602,0.9079999999999999
MINIROCKET,2500,max + ppv,rbf,100,0.667,0.602,0.9079999999999999
MINIROCKET,2500,ppv,rbf,100,0.6509999999999999,0.5820000000000001,0.898
MINIROCKET,2500,max,rbf,1000,0.669,0.607,0.9079999999999999
MINIROCKET,2500,max + ppv,rbf,1000,0.669,0.607,0.9079999999999999
MINIROCKET,2500,ppv,rbf,1000,0.66,0.596,0.9059999999999999
MINIROCKET,2500,max,rbf,10000,0.669,0.607,0.909
MINIROCKET,2500,max + ppv,rbf,10000,0.669,0.607,0.9079999999999999
MINIROCKET,2500,ppv,rbf,10000,0.66,0.596,0.9059999999999999
MINIROCKET,2500,max,sigmoid,100,0.154,0.0,0.29600000000000004
MINIROCKET,2500,max + ppv,sigmoid,100,0.154,0.0,0.282
MINIROCKET,2500,ppv,sigmoid,100,0.154,0.0,0.281
MINIROCKET,2500,max,sigmoid,1000,0.184,0.033,0.611
MINIROCKET,2500,max + ppv,sigmoid,1000,0.184,0.033,0.602
MINIROCKET,2500,ppv,sigmoid,1000,0.16899999999999998,0.017,0.47
MINIROCKET,2500,max,sigmoid,10000,0.43200000000000005,0.317,0.769
MINIROCKET,2500,max + ppv,sigmoid,10000,0.43200000000000005,0.317,0.7659999999999999
MINIROCKET,2500,ppv,sigmoid,10000,0.42,0.302,0.743
MINIROCKET,5000,max,linear,100,0.679,0.614,0.914
MINIROCKET,5000,max + ppv,linear,100,0.679,0.614,0.915
MINIROCKET,5000,ppv,linear,100,0.6829999999999999,0.62,0.905
MINIROCKET,5000,max,linear,1000,0.679,0.614,0.914
MINIROCKET,5000,max + ppv,linear,1000,0.679,0.614,0.9129999999999999
MINIROCKET,5000,ppv,linear,1000,0.6829999999999999,0.62,0.9059999999999999
MINIROCKET,5000,max,linear,10000,0.679,0.614,0.9129999999999999
MINIROCKET,5000,max + ppv,linear,10000,0.679,0.614,0.9129999999999999
MINIROCKET,5000,ppv,linear,10000,0.6829999999999999,0.62,0.9059999999999999
MINIROCKET,5000,max,poly,100,0.6920000000000001,0.629,0.915
MINIROCKET,5000,max + ppv,poly,100,0.6920000000000001,0.629,0.9159999999999999
MINIROCKET,5000,ppv,poly,100,0.6920000000000001,0.63,0.909
MINIROCKET,5000,max,poly,1000,0.6920000000000001,0.629,0.915
MINIROCKET,5000,max + ppv,poly,1000,0.6920000000000001,0.629,0.915
MINIROCKET,5000,ppv,poly,1000,0.6920000000000001,0.63,0.9059999999999999
MINIROCKET,5000,max,poly,10000,0.6920000000000001,0.629,0.915
MINIROCKET,5000,max + ppv,poly,10000,0.6920000000000001,0.629,0.915
MINIROCKET,5000,ppv,poly,10000,0.6920000000000001,0.63,0.9079999999999999
MINIROCKET,5000,max,rbf,100,0.696,0.635,0.904
MINIROCKET,5000,max + ppv,rbf,100,0.696,0.635,0.903
MINIROCKET,5000,ppv,rbf,100,0.698,0.638,0.897
MINIROCKET,5000,max,rbf,1000,0.679,0.615,0.9129999999999999
MINIROCKET,5000,max + ppv,rbf,1000,0.679,0.615,0.9129999999999999
MINIROCKET,5000,ppv,rbf,1000,0.685,0.622,0.903
MINIROCKET,5000,max,rbf,10000,0.679,0.615,0.914
MINIROCKET,5000,max + ppv,rbf,10000,0.679,0.615,0.912
MINIROCKET,5000,ppv,rbf,10000,0.685,0.622,0.904
MINIROCKET,5000,max,sigmoid,100,0.154,0.0,0.309
MINIROCKET,5000,max + ppv,sigmoid,100,0.154,0.0,0.306
MINIROCKET,5000,ppv,sigmoid,100,0.154,0.0,0.28600000000000003
MINIROCKET,5000,max,sigmoid,1000,0.154,0.0,0.324
MINIROCKET,5000,max + ppv,sigmoid,1000,0.154,0.0,0.321
MINIROCKET,5000,ppv,sigmoid,1000,0.154,0.0,0.397
MINIROCKET,5000,max,sigmoid,10000,0.34299999999999997,0.21600000000000003,0.738
MINIROCKET,5000,max + ppv,sigmoid,10000,0.34299999999999997,0.21600000000000003,0.732
MINIROCKET,5000,ppv,sigmoid,10000,0.41100000000000003,0.29100000000000004,0.759
MINIROCKET,10000,max,linear,100,0.682,0.62,0.9179999999999999
MINIROCKET,10000,max + ppv,linear,100,0.682,0.62,0.9159999999999999
MINIROCKET,10000,ppv,linear,100,0.685,0.625,0.9159999999999999
MINIROCKET,10000,max,linear,1000,0.682,0.62,0.917
MINIROCKET,10000,max + ppv,linear,1000,0.682,0.62,0.917
MINIROCKET,10000,ppv,linear,1000,0.685,0.625,0.915
MINIROCKET,10000,max,linear,10000,0.682,0.62,0.917
MINIROCKET,10000,max + ppv,linear,10000,0.682,0.62,0.9179999999999999
MINIROCKET,10000,ppv,linear,10000,0.685,0.625,0.915
MINIROCKET,10000,max,poly,100,0.695,0.635,0.917
MINIROCKET,10000,max + ppv,poly,100,0.695,0.635,0.919
MINIROCKET,10000,ppv,poly,100,0.6940000000000001,0.635,0.917
MINIROCKET,10000,max,poly,1000,0.695,0.635,0.919
MINIROCKET,10000,max + ppv,poly,1000,0.695,0.635,0.92
MINIROCKET,10000,ppv,poly,1000,0.6940000000000001,0.635,0.9179999999999999
MINIROCKET,10000,max,poly,10000,0.695,0.635,0.919
MINIROCKET,10000,max + ppv,poly,10000,0.695,0.635,0.9179999999999999
MINIROCKET,10000,ppv,poly,10000,0.6940000000000001,0.635,0.917
MINIROCKET,10000,max,rbf,100,0.688,0.626,0.9129999999999999
MINIROCKET,10000,max + ppv,rbf,100,0.688,0.626,0.9129999999999999
MINIROCKET,10000,ppv,rbf,100,0.685,0.624,0.9129999999999999
MINIROCKET,10000,max,rbf,1000,0.6829999999999999,0.621,0.9159999999999999
MINIROCKET,10000,max + ppv,rbf,1000,0.6829999999999999,0.621,0.917
MINIROCKET,10000,ppv,rbf,1000,0.687,0.628,0.915
MINIROCKET,10000,max,rbf,10000,0.6829999999999999,0.621,0.915
MINIROCKET,10000,max + ppv,rbf,10000,0.6829999999999999,0.621,0.917
MINIROCKET,10000,ppv,rbf,10000,0.687,0.628,0.9129999999999999
MINIROCKET,10000,max,sigmoid,100,0.154,0.0,0.289
MINIROCKET,10000,max + ppv,sigmoid,100,0.154,0.0,0.28600000000000003
MINIROCKET,10000,ppv,sigmoid,100,0.154,0.0,0.264
MINIROCKET,10000,max,sigmoid,1000,0.16,0.006999999999999999,0.505
MINIROCKET,10000,max + ppv,sigmoid,1000,0.16,0.006999999999999999,0.515
