Algorithm,Number of Cores,Pooling,Kernel,Smoothing Parameter,Skuteczność,BI,AUC
MINIROCKET,250,max + ppv,linear,100,0.857,0.654,0.8270000000000001
MINIROCKET,250,max,linear,100,0.857,0.654,0.8270000000000001
MINIROCKET,250,ppv,linear,100,0.8340000000000001,0.598,0.799
MINIROCKET,250,max + ppv,linear,1000,0.857,0.654,0.8270000000000001
MINIROCKET,250,max,linear,1000,0.857,0.654,0.8270000000000001
MINIROCKET,250,ppv,linear,1000,0.833,0.595,0.7979999999999999
MINIROCKET,250,max + ppv,linear,10000,0.857,0.654,0.8270000000000001
MINIROCKET,250,max,linear,10000,0.857,0.654,0.8270000000000001
MINIROCKET,250,ppv,linear,10000,0.833,0.595,0.7979999999999999
MINIROCKET,250,max + ppv,poly,100,0.8590000000000001,0.654,0.8270000000000001
MINIROCKET,250,max,poly,100,0.8590000000000001,0.654,0.8270000000000001
MINIROCKET,250,ppv,poly,100,0.8420000000000001,0.61,0.805
MINIROCKET,250,max + ppv,poly,1000,0.8590000000000001,0.654,0.8270000000000001
MINIROCKET,250,max,poly,1000,0.8590000000000001,0.654,0.8270000000000001
MINIROCKET,250,ppv,poly,1000,0.8420000000000001,0.61,0.805
MINIROCKET,250,max + ppv,poly,10000,0.8590000000000001,0.654,0.8270000000000001
MINIROCKET,250,max,poly,10000,0.8590000000000001,0.654,0.8270000000000001
MINIROCKET,250,ppv,poly,10000,0.8420000000000001,0.61,0.805
MINIROCKET,250,max + ppv,rbf,100,0.862,0.662,0.831
MINIROCKET,250,max,rbf,100,0.862,0.662,0.831
MINIROCKET,250,ppv,rbf,100,0.8490000000000001,0.63,0.815
MINIROCKET,250,max + ppv,rbf,1000,0.8590000000000001,0.6579999999999999,0.8290000000000001
MINIROCKET,250,max,rbf,1000,0.8590000000000001,0.6579999999999999,0.8290000000000001
MINIROCKET,250,ppv,rbf,1000,0.847,0.625,0.813
MINIROCKET,250,max + ppv,rbf,10000,0.8590000000000001,0.6579999999999999,0.8290000000000001
MINIROCKET,250,max,rbf,10000,0.8590000000000001,0.6579999999999999,0.8290000000000001
MINIROCKET,250,ppv,rbf,10000,0.847,0.625,0.813
MINIROCKET,250,max + ppv,sigmoid,100,0.78,0.36,0.68
MINIROCKET,250,max,sigmoid,100,0.78,0.36,0.68
MINIROCKET,250,ppv,sigmoid,100,0.7909999999999999,0.40700000000000003,0.7040000000000001
MINIROCKET,250,max + ppv,sigmoid,1000,0.831,0.542,0.7709999999999999
MINIROCKET,250,max,sigmoid,1000,0.831,0.542,0.7709999999999999
MINIROCKET,250,ppv,sigmoid,1000,0.772,0.441,0.721
MINIROCKET,250,max + ppv,sigmoid,10000,0.794,0.49200000000000005,0.746
MINIROCKET,250,max,sigmoid,10000,0.794,0.49200000000000005,0.746
MINIROCKET,250,ppv,sigmoid,10000,0.746,0.409,0.705
MINIROCKET,500,max + ppv,linear,100,0.878,0.684,0.8420000000000001
MINIROCKET,500,max,linear,100,0.878,0.684,0.8420000000000001
MINIROCKET,500,ppv,linear,100,0.861,0.637,0.8190000000000001
MINIROCKET,500,max + ppv,linear,1000,0.878,0.684,0.8420000000000001
MINIROCKET,500,max,linear,1000,0.878,0.684,0.8420000000000001
MINIROCKET,500,ppv,linear,1000,0.861,0.637,0.8190000000000001
MINIROCKET,500,max + ppv,linear,10000,0.878,0.684,0.8420000000000001
MINIROCKET,500,max,linear,10000,0.878,0.684,0.8420000000000001
MINIROCKET,500,ppv,linear,10000,0.861,0.637,0.8190000000000001
MINIROCKET,500,max + ppv,poly,100,0.88,0.688,0.8440000000000001
MINIROCKET,500,max,poly,100,0.88,0.688,0.8440000000000001
MINIROCKET,500,ppv,poly,100,0.868,0.657,0.8290000000000001
MINIROCKET,500,max + ppv,poly,1000,0.88,0.688,0.8440000000000001
MINIROCKET,500,max,poly,1000,0.88,0.688,0.8440000000000001
MINIROCKET,500,ppv,poly,1000,0.868,0.657,0.8290000000000001
MINIROCKET,500,max + ppv,poly,10000,0.88,0.688,0.8440000000000001
MINIROCKET,500,max,poly,10000,0.88,0.688,0.8440000000000001
MINIROCKET,500,ppv,poly,10000,0.868,0.657,0.8290000000000001
MINIROCKET,500,max + ppv,rbf,100,0.88,0.6970000000000001,0.8490000000000001
MINIROCKET,500,max,rbf,100,0.88,0.6970000000000001,0.8490000000000001
MINIROCKET,500,ppv,rbf,100,0.87,0.672,0.836
MINIROCKET,500,max + ppv,rbf,1000,0.875,0.679,0.84
MINIROCKET,500,max,rbf,1000,0.875,0.679,0.84
MINIROCKET,500,ppv,rbf,1000,0.868,0.665,0.833
MINIROCKET,500,max + ppv,rbf,10000,0.875,0.679,0.84
MINIROCKET,500,max,rbf,10000,0.875,0.679,0.84
MINIROCKET,500,ppv,rbf,10000,0.868,0.665,0.833
MINIROCKET,500,max + ppv,sigmoid,100,0.691,0.004,0.502
MINIROCKET,500,max,sigmoid,100,0.691,0.004,0.502
MINIROCKET,500,ppv,sigmoid,100,0.76,0.293,0.6459999999999999
MINIROCKET,500,max + ppv,sigmoid,1000,0.805,0.455,0.728
MINIROCKET,500,max,sigmoid,1000,0.805,0.455,0.728
MINIROCKET,500,ppv,sigmoid,1000,0.83,0.522,0.7609999999999999
MINIROCKET,500,max + ppv,sigmoid,10000,0.856,0.622,0.8109999999999999
MINIROCKET,500,max,sigmoid,10000,0.856,0.622,0.8109999999999999
MINIROCKET,500,ppv,sigmoid,10000,0.778,0.466,0.733
MINIROCKET,1000,max + ppv,linear,100,0.897,0.763,0.882
MINIROCKET,1000,max,linear,100,0.897,0.763,0.882
MINIROCKET,1000,ppv,linear,100,0.877,0.7090000000000001,0.855
MINIROCKET,1000,max + ppv,linear,1000,0.897,0.763,0.882
MINIROCKET,1000,max,linear,1000,0.897,0.763,0.882
MINIROCKET,1000,ppv,linear,1000,0.877,0.7090000000000001,0.855
MINIROCKET,1000,max + ppv,linear,10000,0.897,0.763,0.882
MINIROCKET,1000,max,linear,10000,0.897,0.763,0.882
MINIROCKET,1000,ppv,linear,10000,0.877,0.7090000000000001,0.855
MINIROCKET,1000,max + ppv,poly,100,0.899,0.7709999999999999,0.885
MINIROCKET,1000,max,poly,100,0.899,0.7709999999999999,0.885
MINIROCKET,1000,ppv,poly,100,0.88,0.7170000000000001,0.858
MINIROCKET,1000,max + ppv,poly,1000,0.899,0.7709999999999999,0.885
MINIROCKET,1000,max,poly,1000,0.899,0.7709999999999999,0.885
MINIROCKET,1000,ppv,poly,1000,0.88,0.7170000000000001,0.858
MINIROCKET,1000,max + ppv,poly,10000,0.899,0.7709999999999999,0.885
MINIROCKET,1000,max,poly,10000,0.899,0.7709999999999999,0.885
MINIROCKET,1000,ppv,poly,10000,0.88,0.7170000000000001,0.858
MINIROCKET,1000,max + ppv,rbf,100,0.902,0.7809999999999999,0.8909999999999999
MINIROCKET,1000,max,rbf,100,0.902,0.7809999999999999,0.8909999999999999
MINIROCKET,1000,ppv,rbf,100,0.885,0.733,0.866
MINIROCKET,1000,max + ppv,rbf,1000,0.902,0.778,0.889
MINIROCKET,1000,max,rbf,1000,0.902,0.778,0.889
MINIROCKET,1000,ppv,rbf,1000,0.8859999999999999,0.735,0.867
MINIROCKET,1000,max + ppv,rbf,10000,0.902,0.778,0.889
MINIROCKET,1000,max,rbf,10000,0.902,0.778,0.889
MINIROCKET,1000,ppv,rbf,10000,0.8859999999999999,0.735,0.867
MINIROCKET,1000,max + ppv,sigmoid,100,0.69,0.0,0.5
MINIROCKET,1000,max,sigmoid,100,0.69,0.0,0.5
MINIROCKET,1000,ppv,sigmoid,100,0.691,0.004,0.502
MINIROCKET,1000,max + ppv,sigmoid,1000,0.81,0.45899999999999996,0.73
MINIROCKET,1000,max,sigmoid,1000,0.81,0.45899999999999996,0.73
MINIROCKET,1000,ppv,sigmoid,1000,0.812,0.467,0.7340000000000001
MINIROCKET,1000,max + ppv,sigmoid,10000,0.872,0.6659999999999999,0.833
MINIROCKET,1000,max,sigmoid,10000,0.872,0.6659999999999999,0.833
MINIROCKET,1000,ppv,sigmoid,10000,0.8490000000000001,0.599,0.799
MINIROCKET,2500,max + ppv,linear,100,0.9229999999999999,0.8220000000000001,0.9109999999999999
MINIROCKET,2500,max,linear,100,0.9229999999999999,0.8220000000000001,0.9109999999999999
MINIROCKET,2500,ppv,linear,100,0.915,0.7979999999999999,0.899
MINIROCKET,2500,max + ppv,linear,1000,0.9229999999999999,0.8220000000000001,0.9109999999999999
MINIROCKET,2500,max,linear,1000,0.9229999999999999,0.8220000000000001,0.9109999999999999
MINIROCKET,2500,ppv,linear,1000,0.915,0.7979999999999999,0.899
MINIROCKET,2500,max + ppv,linear,10000,0.9229999999999999,0.8220000000000001,0.9109999999999999
MINIROCKET,2500,max,linear,10000,0.9229999999999999,0.8220000000000001,0.9109999999999999
MINIROCKET,2500,ppv,linear,10000,0.915,0.7979999999999999,0.899
MINIROCKET,2500,max + ppv,poly,100,0.9259999999999999,0.828,0.914
MINIROCKET,2500,max,poly,100,0.9259999999999999,0.828,0.914
MINIROCKET,2500,ppv,poly,100,0.92,0.81,0.905
MINIROCKET,2500,max + ppv,poly,1000,0.9259999999999999,0.828,0.914
MINIROCKET,2500,max,poly,1000,0.9259999999999999,0.828,0.914
MINIROCKET,2500,ppv,poly,1000,0.92,0.81,0.905
MINIROCKET,2500,max + ppv,poly,10000,0.9259999999999999,0.828,0.914
MINIROCKET,2500,max,poly,10000,0.9259999999999999,0.828,0.914
MINIROCKET,2500,ppv,poly,10000,0.92,0.81,0.905
MINIROCKET,2500,max + ppv,rbf,100,0.9229999999999999,0.818,0.909
MINIROCKET,2500,max,rbf,100,0.9229999999999999,0.818,0.909
MINIROCKET,2500,ppv,rbf,100,0.924,0.821,0.91
MINIROCKET,2500,max + ppv,rbf,1000,0.924,0.821,0.91
MINIROCKET,2500,max,rbf,1000,0.924,0.821,0.91
MINIROCKET,2500,ppv,rbf,1000,0.922,0.8140000000000001,0.907
MINIROCKET,2500,max + ppv,rbf,10000,0.924,0.821,0.91
MINIROCKET,2500,max,rbf,10000,0.924,0.821,0.91
MINIROCKET,2500,ppv,rbf,10000,0.922,0.8140000000000001,0.907
MINIROCKET,2500,max + ppv,sigmoid,100,0.69,0.0,0.5
MINIROCKET,2500,max,sigmoid,100,0.69,0.0,0.5
MINIROCKET,2500,ppv,sigmoid,100,0.69,0.0,0.5
MINIROCKET,2500,max + ppv,sigmoid,1000,0.8240000000000001,0.509,0.754
MINIROCKET,2500,max,sigmoid,1000,0.8240000000000001,0.509,0.754
MINIROCKET,2500,ppv,sigmoid,1000,0.8079999999999999,0.475,0.737
MINIROCKET,2500,max + ppv,sigmoid,10000,0.894,0.7240000000000001,0.862
MINIROCKET,2500,max,sigmoid,10000,0.894,0.7240000000000001,0.862
MINIROCKET,2500,ppv,sigmoid,10000,0.884,0.69,0.845
MINIROCKET,5000,max + ppv,linear,100,0.93,0.828,0.914
MINIROCKET,5000,max,linear,100,0.93,0.828,0.914
MINIROCKET,5000,ppv,linear,100,0.938,0.858,0.929
MINIROCKET,5000,max + ppv,linear,1000,0.93,0.828,0.914
MINIROCKET,5000,max,linear,1000,0.93,0.828,0.914
MINIROCKET,5000,ppv,linear,1000,0.938,0.858,0.929
MINIROCKET,5000,max + ppv,linear,10000,0.93,0.828,0.914
MINIROCKET,5000,max,linear,10000,0.93,0.828,0.914
MINIROCKET,5000,ppv,linear,10000,0.938,0.858,0.929
MINIROCKET,5000,max + ppv,poly,100,0.932,0.8340000000000001,0.917
MINIROCKET,5000,max,poly,100,0.932,0.8340000000000001,0.917
MINIROCKET,5000,ppv,poly,100,0.941,0.866,0.9329999999999999
MINIROCKET,5000,max + ppv,poly,1000,0.932,0.8340000000000001,0.917
MINIROCKET,5000,max,poly,1000,0.932,0.8340000000000001,0.917
MINIROCKET,5000,ppv,poly,1000,0.941,0.866,0.9329999999999999
MINIROCKET,5000,max + ppv,poly,10000,0.932,0.8340000000000001,0.917
MINIROCKET,5000,max,poly,10000,0.932,0.8340000000000001,0.917
MINIROCKET,5000,ppv,poly,10000,0.941,0.866,0.9329999999999999
MINIROCKET,5000,max + ppv,rbf,100,0.93,0.8290000000000001,0.915
MINIROCKET,5000,max,rbf,100,0.93,0.8290000000000001,0.915
MINIROCKET,5000,ppv,rbf,100,0.938,0.856,0.9279999999999999
MINIROCKET,5000,max + ppv,rbf,1000,0.93,0.83,0.915
MINIROCKET,5000,max,rbf,1000,0.93,0.83,0.915
MINIROCKET,5000,ppv,rbf,1000,0.937,0.8540000000000001,0.927
MINIROCKET,5000,max + ppv,rbf,10000,0.93,0.83,0.915
MINIROCKET,5000,max,rbf,10000,0.93,0.83,0.915
MINIROCKET,5000,ppv,rbf,10000,0.937,0.8540000000000001,0.927
MINIROCKET,5000,max + ppv,sigmoid,100,0.69,0.0,0.5
MINIROCKET,5000,max,sigmoid,100,0.69,0.0,0.5
MINIROCKET,5000,ppv,sigmoid,100,0.69,0.0,0.5
MINIROCKET,5000,max + ppv,sigmoid,1000,0.792,0.452,0.726
MINIROCKET,5000,max,sigmoid,1000,0.792,0.452,0.726
MINIROCKET,5000,ppv,sigmoid,1000,0.81,0.49,0.745
MINIROCKET,5000,max + ppv,sigmoid,10000,0.8859999999999999,0.693,0.847
MINIROCKET,5000,max,sigmoid,10000,0.8859999999999999,0.693,0.847
MINIROCKET,5000,ppv,sigmoid,10000,0.895,0.727,0.863
MINIROCKET,10000,max + ppv,linear,100,0.9259999999999999,0.816,0.9079999999999999
MINIROCKET,10000,max,linear,100,0.9259999999999999,0.816,0.9079999999999999
MINIROCKET,10000,ppv,linear,100,0.9259999999999999,0.818,0.909
MINIROCKET,10000,max + ppv,linear,1000,0.9259999999999999,0.816,0.9079999999999999
MINIROCKET,10000,max,linear,1000,0.9259999999999999,0.816,0.9079999999999999
MINIROCKET,10000,ppv,linear,1000,0.9259999999999999,0.818,0.909
MINIROCKET,10000,max + ppv,linear,10000,0.9259999999999999,0.816,0.9079999999999999
MINIROCKET,10000,max,linear,10000,0.9259999999999999,0.816,0.9079999999999999
MINIROCKET,10000,ppv,linear,10000,0.9259999999999999,0.818,0.909
MINIROCKET,10000,max + ppv,poly,100,0.927,0.8220000000000001,0.9109999999999999
MINIROCKET,10000,max,poly,100,0.927,0.8220000000000001,0.9109999999999999
MINIROCKET,10000,ppv,poly,100,0.927,0.8240000000000001,0.912
MINIROCKET,10000,max + ppv,poly,1000,0.927,0.8220000000000001,0.9109999999999999
MINIROCKET,10000,max,poly,1000,0.927,0.8220000000000001,0.9109999999999999
MINIROCKET,10000,ppv,poly,1000,0.927,0.8240000000000001,0.912
MINIROCKET,10000,max + ppv,poly,10000,0.927,0.8220000000000001,0.9109999999999999
MINIROCKET,10000,max,poly,10000,0.927,0.8220000000000001,0.9109999999999999
MINIROCKET,10000,ppv,poly,10000,0.927,0.8240000000000001,0.912
