Algorithm,Number of Cores,Pooling,Kernel,Smoothing Parameter,Skuteczność,BI,AUC
MINIROCKET,10000,max + ppv,rbf,100,0.9279999999999999,0.8220000000000001,0.9109999999999999
MINIROCKET,10000,max,rbf,100,0.9279999999999999,0.8220000000000001,0.9109999999999999
MINIROCKET,10000,ppv,rbf,100,0.927,0.82,0.91
MINIROCKET,10000,max + ppv,rbf,1000,0.9229999999999999,0.81,0.905
MINIROCKET,10000,max,rbf,1000,0.9229999999999999,0.81,0.905
MINIROCKET,10000,ppv,rbf,1000,0.924,0.815,0.9079999999999999
MINIROCKET,10000,max + ppv,rbf,10000,0.9229999999999999,0.81,0.905
MINIROCKET,10000,max,rbf,10000,0.9229999999999999,0.81,0.905
MINIROCKET,10000,ppv,rbf,10000,0.924,0.815,0.9079999999999999
MINIROCKET,10000,max + ppv,sigmoid,100,0.69,0.0,0.5
MINIROCKET,10000,max,sigmoid,100,0.69,0.0,0.5
MINIROCKET,10000,ppv,sigmoid,100,0.69,0.0,0.5
MINIROCKET,10000,max + ppv,sigmoid,1000,0.813,0.483,0.742
MINIROCKET,10000,max,sigmoid,1000,0.813,0.483,0.742
MINIROCKET,10000,ppv,sigmoid,1000,0.81,0.475,0.737
MINIROCKET,10000,max + ppv,sigmoid,10000,0.894,0.727,0.8640000000000001
MINIROCKET,10000,max,sigmoid,10000,0.894,0.727,0.8640000000000001
MINIROCKET,10000,ppv,sigmoid,10000,0.894,0.721,0.861
ROCKET,250,max + ppv,linear,100,0.888,0.7609999999999999,0.88
ROCKET,250,max,linear,100,0.888,0.7609999999999999,0.88
ROCKET,250,ppv,linear,100,0.888,0.721,0.86
ROCKET,250,max + ppv,linear,1000,0.888,0.7609999999999999,0.88
ROCKET,250,max,linear,1000,0.888,0.7609999999999999,0.88
ROCKET,250,ppv,linear,1000,0.888,0.721,0.86
ROCKET,250,max + ppv,linear,10000,0.888,0.7609999999999999,0.88
ROCKET,250,max,linear,10000,0.888,0.7609999999999999,0.88
ROCKET,250,ppv,linear,10000,0.888,0.721,0.86
ROCKET,250,max + ppv,poly,100,0.8740000000000001,0.7190000000000001,0.86
ROCKET,250,max,poly,100,0.8740000000000001,0.7190000000000001,0.86
ROCKET,250,ppv,poly,100,0.893,0.733,0.867
ROCKET,250,max + ppv,poly,1000,0.8740000000000001,0.7190000000000001,0.86
ROCKET,250,max,poly,1000,0.8740000000000001,0.7190000000000001,0.86
ROCKET,250,ppv,poly,1000,0.893,0.733,0.867
ROCKET,250,max + ppv,poly,10000,0.8740000000000001,0.7190000000000001,0.86
ROCKET,250,max,poly,10000,0.8740000000000001,0.7190000000000001,0.86
ROCKET,250,ppv,poly,10000,0.893,0.733,0.867
ROCKET,250,max + ppv,rbf,100,0.903,0.792,0.8959999999999999
ROCKET,250,max,rbf,100,0.903,0.792,0.8959999999999999
ROCKET,250,ppv,rbf,100,0.899,0.75,0.875
ROCKET,250,max + ppv,rbf,1000,0.899,0.7859999999999999,0.893
ROCKET,250,max,rbf,1000,0.899,0.7859999999999999,0.893
ROCKET,250,ppv,rbf,1000,0.895,0.7390000000000001,0.87
ROCKET,250,max + ppv,rbf,10000,0.899,0.7859999999999999,0.893
ROCKET,250,max,rbf,10000,0.899,0.7859999999999999,0.893
ROCKET,250,ppv,rbf,10000,0.895,0.7390000000000001,0.87
ROCKET,250,max + ppv,sigmoid,100,0.55,-0.01,0.495
ROCKET,250,max,sigmoid,100,0.55,-0.01,0.495
ROCKET,250,ppv,sigmoid,100,0.69,0.0,0.5
ROCKET,250,max + ppv,sigmoid,1000,0.5429999999999999,-0.019,0.491
ROCKET,250,max,sigmoid,1000,0.5429999999999999,-0.019,0.491
ROCKET,250,ppv,sigmoid,1000,0.706,0.059000000000000004,0.53
ROCKET,250,max + ppv,sigmoid,10000,0.542,-0.019,0.491
ROCKET,250,max,sigmoid,10000,0.542,-0.019,0.491
ROCKET,250,ppv,sigmoid,10000,0.8009999999999999,0.45,0.725
ROCKET,500,max + ppv,linear,100,0.898,0.784,0.892
ROCKET,500,max,linear,100,0.898,0.784,0.892
ROCKET,500,ppv,linear,100,0.8959999999999999,0.742,0.871
ROCKET,500,max + ppv,linear,1000,0.898,0.784,0.892
ROCKET,500,max + ppv,linear,10000,0.898,0.784,0.892
ROCKET,500,max + ppv,poly,100,0.885,0.7440000000000001,0.872
ROCKET,500,max,poly,100,0.885,0.7440000000000001,0.872
ROCKET,500,ppv,poly,100,0.9009999999999999,0.755,0.877
ROCKET,500,max + ppv,poly,1000,0.885,0.7440000000000001,0.872
ROCKET,500,max + ppv,poly,10000,0.885,0.7440000000000001,0.872
ROCKET,500,max + ppv,rbf,100,0.91,0.807,0.903
ROCKET,500,max,rbf,100,0.91,0.807,0.903
ROCKET,500,ppv,rbf,100,0.9059999999999999,0.767,0.884
ROCKET,500,max + ppv,rbf,1000,0.909,0.807,0.903
ROCKET,500,max + ppv,rbf,10000,0.909,0.807,0.903
ROCKET,500,max + ppv,sigmoid,100,0.537,-0.04,0.48
ROCKET,500,max,sigmoid,100,0.537,-0.04,0.48
ROCKET,500,ppv,sigmoid,100,0.69,0.0,0.5
ROCKET,500,max + ppv,sigmoid,1000,0.534,-0.044000000000000004,0.478
ROCKET,500,max + ppv,sigmoid,10000,0.5329999999999999,-0.045,0.478
ROCKET,1000,max + ppv,linear,100,0.9079999999999999,0.8140000000000001,0.907
ROCKET,1000,max,linear,100,0.9079999999999999,0.8140000000000001,0.907
ROCKET,1000,ppv,linear,100,0.905,0.7659999999999999,0.883
ROCKET,1000,max + ppv,linear,1000,0.9079999999999999,0.8140000000000001,0.907
ROCKET,1000,max,linear,1000,0.9079999999999999,0.8140000000000001,0.907
ROCKET,1000,ppv,linear,1000,0.905,0.7659999999999999,0.883
ROCKET,1000,max + ppv,linear,10000,0.9079999999999999,0.8140000000000001,0.907
ROCKET,1000,max,linear,10000,0.9079999999999999,0.8140000000000001,0.907
ROCKET,1000,ppv,linear,10000,0.9059999999999999,0.768,0.884
ROCKET,1000,max + ppv,poly,100,0.889,0.7490000000000001,0.875
ROCKET,1000,max,poly,100,0.889,0.7490000000000001,0.875
ROCKET,1000,ppv,poly,100,0.909,0.777,0.889
ROCKET,1000,max + ppv,poly,1000,0.889,0.7490000000000001,0.875
ROCKET,1000,max,poly,1000,0.889,0.7490000000000001,0.875
ROCKET,1000,ppv,poly,1000,0.909,0.777,0.889
ROCKET,1000,max + ppv,poly,10000,0.889,0.7490000000000001,0.875
ROCKET,1000,max,poly,10000,0.889,0.7490000000000001,0.875
ROCKET,1000,ppv,poly,10000,0.909,0.777,0.889
ROCKET,1000,max + ppv,rbf,100,0.914,0.8140000000000001,0.907
ROCKET,1000,max,rbf,100,0.914,0.8140000000000001,0.907
ROCKET,1000,ppv,rbf,100,0.91,0.779,0.89
ROCKET,1000,max + ppv,rbf,1000,0.915,0.8170000000000001,0.9079999999999999
ROCKET,1000,max,rbf,1000,0.915,0.8170000000000001,0.9079999999999999
ROCKET,1000,ppv,rbf,1000,0.909,0.777,0.888
ROCKET,1000,max + ppv,rbf,10000,0.915,0.8170000000000001,0.9079999999999999
ROCKET,1000,max,rbf,10000,0.915,0.8170000000000001,0.9079999999999999
ROCKET,1000,ppv,rbf,10000,0.909,0.777,0.888
ROCKET,1000,max + ppv,sigmoid,100,0.529,-0.057999999999999996,0.47100000000000003
ROCKET,1000,max,sigmoid,100,0.529,-0.057999999999999996,0.47100000000000003
ROCKET,1000,ppv,sigmoid,100,0.69,0.0,0.5
ROCKET,1000,max + ppv,sigmoid,1000,0.524,-0.066,0.467
ROCKET,1000,max,sigmoid,1000,0.524,-0.066,0.467
ROCKET,1000,ppv,sigmoid,1000,0.6970000000000001,0.025,0.512
ROCKET,1000,max + ppv,sigmoid,10000,0.524,-0.065,0.467
ROCKET,1000,max,sigmoid,10000,0.524,-0.065,0.467
ROCKET,1000,ppv,sigmoid,10000,0.812,0.474,0.737
ROCKET,2500,max + ppv,linear,100,0.915,0.8320000000000001,0.9159999999999999
ROCKET,2500,max,linear,100,0.915,0.8320000000000001,0.9159999999999999
ROCKET,2500,ppv,linear,100,0.9159999999999999,0.797,0.898
ROCKET,2500,max + ppv,linear,1000,0.915,0.8320000000000001,0.9159999999999999
ROCKET,2500,max,linear,1000,0.915,0.8320000000000001,0.9159999999999999
ROCKET,2500,ppv,linear,1000,0.9159999999999999,0.797,0.898
ROCKET,2500,max + ppv,linear,10000,0.915,0.8320000000000001,0.9159999999999999
ROCKET,2500,max,linear,10000,0.915,0.8320000000000001,0.9159999999999999
ROCKET,2500,ppv,linear,10000,0.9159999999999999,0.797,0.898
ROCKET,2500,max + ppv,poly,100,0.892,0.759,0.879
ROCKET,2500,max,poly,100,0.892,0.759,0.879
ROCKET,2500,ppv,poly,100,0.917,0.8,0.9
ROCKET,2500,max + ppv,poly,1000,0.892,0.759,0.879
ROCKET,2500,max,poly,1000,0.892,0.759,0.879
ROCKET,2500,ppv,poly,1000,0.917,0.8,0.9
ROCKET,2500,max + ppv,poly,10000,0.892,0.759,0.879
ROCKET,2500,max,poly,10000,0.892,0.759,0.879
ROCKET,2500,ppv,poly,10000,0.917,0.8,0.9
ROCKET,2500,max + ppv,rbf,100,0.919,0.826,0.9129999999999999
ROCKET,2500,max,rbf,100,0.919,0.826,0.9129999999999999
ROCKET,2500,ppv,rbf,100,0.914,0.792,0.8959999999999999
ROCKET,2500,max + ppv,rbf,1000,0.919,0.828,0.914
ROCKET,2500,max,rbf,1000,0.919,0.828,0.914
ROCKET,2500,ppv,rbf,1000,0.9129999999999999,0.789,0.895
ROCKET,2500,max + ppv,rbf,10000,0.919,0.828,0.914
ROCKET,2500,max,rbf,10000,0.919,0.828,0.914
ROCKET,2500,ppv,rbf,10000,0.9129999999999999,0.789,0.895
ROCKET,2500,max + ppv,sigmoid,100,0.479,-0.16699999999999998,0.41700000000000004
ROCKET,2500,max,sigmoid,100,0.479,-0.16699999999999998,0.41700000000000004
ROCKET,2500,ppv,sigmoid,100,0.69,0.0,0.5
ROCKET,2500,max + ppv,sigmoid,1000,0.473,-0.174,0.413
ROCKET,2500,max,sigmoid,1000,0.473,-0.174,0.413
ROCKET,2500,ppv,sigmoid,1000,0.691,0.004,0.502
ROCKET,2500,max + ppv,sigmoid,10000,0.473,-0.174,0.413
ROCKET,2500,max,sigmoid,10000,0.473,-0.174,0.413
ROCKET,2500,ppv,sigmoid,10000,0.812,0.47,0.735
ROCKET,5000,max + ppv,linear,100,0.9179999999999999,0.847,0.924
ROCKET,5000,max,linear,100,0.9179999999999999,0.847,0.924
ROCKET,5000,ppv,linear,100,0.9179999999999999,0.804,0.902
ROCKET,5000,max + ppv,linear,1000,0.9179999999999999,0.847,0.924
ROCKET,5000,max,linear,1000,0.9179999999999999,0.847,0.924
ROCKET,5000,ppv,linear,1000,0.9179999999999999,0.804,0.902
ROCKET,5000,max + ppv,linear,10000,0.9179999999999999,0.847,0.924
ROCKET,5000,max,linear,10000,0.9179999999999999,0.847,0.924
ROCKET,5000,ppv,linear,10000,0.9179999999999999,0.804,0.902
ROCKET,5000,max + ppv,poly,100,0.89,0.755,0.878
ROCKET,5000,max,poly,100,0.89,0.755,0.878
ROCKET,5000,ppv,poly,100,0.9209999999999999,0.813,0.9059999999999999
ROCKET,5000,max + ppv,poly,1000,0.89,0.755,0.878
ROCKET,5000,max,poly,1000,0.89,0.755,0.878
ROCKET,5000,ppv,poly,1000,0.9209999999999999,0.813,0.9059999999999999
ROCKET,5000,max + ppv,poly,10000,0.89,0.755,0.878
ROCKET,5000,max,poly,10000,0.89,0.755,0.878
ROCKET,5000,ppv,poly,10000,0.9209999999999999,0.813,0.9059999999999999
ROCKET,5000,max + ppv,rbf,100,0.92,0.826,0.9129999999999999
ROCKET,5000,max,rbf,100,0.92,0.826,0.9129999999999999
ROCKET,5000,ppv,rbf,100,0.917,0.8009999999999999,0.9009999999999999
ROCKET,5000,max + ppv,rbf,1000,0.9209999999999999,0.83,0.915
ROCKET,5000,max,rbf,1000,0.9209999999999999,0.83,0.915
ROCKET,5000,ppv,rbf,1000,0.9159999999999999,0.8009999999999999,0.9
ROCKET,5000,max + ppv,rbf,10000,0.9209999999999999,0.83,0.915
ROCKET,5000,max,rbf,10000,0.9209999999999999,0.83,0.915
ROCKET,5000,ppv,rbf,10000,0.9159999999999999,0.8009999999999999,0.9
ROCKET,5000,max + ppv,sigmoid,100,0.45799999999999996,-0.214,0.39299999999999996
ROCKET,5000,max,sigmoid,100,0.45799999999999996,-0.214,0.39299999999999996
ROCKET,5000,ppv,sigmoid,100,0.69,0.0,0.5
ROCKET,5000,max + ppv,sigmoid,1000,0.45399999999999996,-0.217,0.392
ROCKET,5000,max,sigmoid,1000,0.45399999999999996,-0.217,0.392
ROCKET,5000,ppv,sigmoid,1000,0.691,0.003,0.501
ROCKET,5000,max + ppv,sigmoid,10000,0.45299999999999996,-0.217,0.391
ROCKET,5000,max,sigmoid,10000,0.45299999999999996,-0.217,0.391
ROCKET,5000,ppv,sigmoid,10000,0.816,0.47700000000000004,0.7390000000000001
ROCKET,10000,max + ppv,linear,100,0.919,0.8490000000000001,0.924
ROCKET,10000,max,linear,100,0.919,0.8490000000000001,0.924
ROCKET,10000,ppv,linear,100,0.925,0.823,0.9109999999999999
ROCKET,10000,max + ppv,linear,1000,0.9179999999999999,0.848,0.924
ROCKET,10000,max,linear,1000,0.919,0.8490000000000001,0.924
ROCKET,10000,ppv,linear,1000,0.925,0.823,0.9109999999999999
ROCKET,10000,max + ppv,linear,10000,0.919,0.8490000000000001,0.925
ROCKET,10000,max,linear,10000,0.919,0.8490000000000001,0.924
ROCKET,10000,ppv,linear,10000,0.925,0.823,0.9109999999999999
ROCKET,10000,max + ppv,poly,100,0.89,0.754,0.877
ROCKET,10000,max,poly,100,0.89,0.754,0.877
ROCKET,10000,ppv,poly,100,0.927,0.828,0.914
ROCKET,10000,max + ppv,poly,1000,0.89,0.754,0.877
ROCKET,10000,max + ppv,poly,10000,0.89,0.754,0.877
ROCKET,10000,max + ppv,rbf,100,0.922,0.83,0.915
ROCKET,10000,max,rbf,100,0.922,0.83,0.915
ROCKET,10000,ppv,rbf,100,0.9209999999999999,0.813,0.9059999999999999
ROCKET,10000,max + ppv,rbf,1000,0.924,0.8370000000000001,0.9179999999999999
ROCKET,10000,max,rbf,1000,0.924,0.8370000000000001,0.9179999999999999
ROCKET,10000,ppv,rbf,1000,0.9209999999999999,0.813,0.907
ROCKET,10000,max + ppv,rbf,10000,0.924,0.8370000000000001,0.9179999999999999
ROCKET,10000,max,rbf,10000,0.924,0.8370000000000001,0.9179999999999999
ROCKET,10000,ppv,rbf,10000,0.9209999999999999,0.815,0.907
ROCKET,10000,max + ppv,sigmoid,100,0.462,-0.20199999999999999,0.39899999999999997
ROCKET,10000,max,sigmoid,100,0.462,-0.20199999999999999,0.39899999999999997
ROCKET,10000,ppv,sigmoid,100,0.69,0.0,0.5
ROCKET,10000,max + ppv,sigmoid,1000,0.46,-0.20199999999999999,0.39899999999999997
ROCKET,10000,max,sigmoid,1000,0.46,-0.20199999999999999,0.39899999999999997
ROCKET,10000,ppv,sigmoid,1000,0.69,0.0,0.5
ROCKET,10000,max + ppv,sigmoid,10000,0.45899999999999996,-0.203,0.39899999999999997
ROCKET,10000,max,sigmoid,10000,0.45899999999999996,-0.203,0.39899999999999997
ROCKET,10000,ppv,sigmoid,10000,0.8170000000000001,0.48,0.74
